#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 5.5 days
    5.1225000000E+02    2.8632832031E+04    2.1134196535E-04    2.8466064453E+04    2.7530181885E+01    1.6676516724E+02    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.2450000000E+02    2.7901457031E+04    2.1134196535E-04    2.7894128906E+04    8.9997392893E-01    7.3282632828E+00    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.3675000000E+02    2.7482904297E+04    2.1134196535E-04    2.7342142578E+04    1.2871412659E+02    1.4076193237E+02    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.4900000000E+02    2.6979673828E+04    2.1134196535E-04    2.6810263672E+04    8.0217742920E+01    1.6940884399E+02    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.6125000000E+02    2.6298480469E+04    2.1134196535E-04    2.6298480469E+04    4.2794463297E-06    4.2794392357E-05    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.7350000000E+02    2.5806605469E+04    2.1134196535E-04    2.5806605469E+04    2.7294712709E-05    2.7294570464E-04    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.8575000000E+02    2.5334310547E+04    2.1134196535E-04    2.5334308594E+04    5.9583373513E-05    5.9582904214E-04    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.9800000000E+02    2.4881218750E+04    2.1134196535E-04    2.4881138672E+04    7.9898266122E-03    7.9869389534E-02    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    6.1025000000E+02    2.4446689453E+04    2.1134196535E-04    2.4446541016E+04    1.4886124991E-02    1.4882171154E-01    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    6.2250000000E+02    2.4030001953E+04    2.1134196535E-04    2.4029884766E+04    1.1818751693E-02    1.1814767122E-01    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
