#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 2.5 days
    5.1225000000E+02    2.3475955078E+04    4.5736134276E-03    2.3428382812E+04    8.5958871841E+00    4.7568504333E+01    2.3827329541E-13    3.1429883839E-15    1.5385769612E-01
    5.2450000000E+02    2.1111123047E+04    4.5736134276E-03    2.1107218750E+04    4.5724779367E-01    3.8991439342E+00    7.0350127633E-13    3.1429883839E-15    1.5385769612E-01
    5.3675000000E+02    1.8937335938E+04    4.5736134276E-03    1.8907287109E+04    2.9560537338E+01    3.0045274734E+01    1.9559171990E-12    3.1429883839E-15    1.5385769612E-01
    5.4900000000E+02    1.6893832031E+04    4.5736134276E-03    1.6840140625E+04    2.5967027664E+01    5.3687728882E+01    5.1254859731E-12    3.1429883839E-15    1.5385769612E-01
    5.6125000000E+02    1.4959199219E+04    4.5736134276E-03    1.4913958008E+04    2.0455038071E+01    4.5235977173E+01    1.2681054991E-11    3.1429883839E-15    1.5385769612E-01
    5.7350000000E+02    1.3160113281E+04    4.5736134276E-03    1.3133875977E+04    4.2824373245E+00    2.6232778549E+01    2.9746986124E-11    3.1429883839E-15    1.5385769612E-01
    5.8575000000E+02    1.1578430664E+04    4.5736134276E-03    1.1502354492E+04    1.4375353813E+01    7.6072265625E+01    6.6799718534E-11    3.1429883839E-15    1.5385769612E-01
    5.9800000000E+02    1.0083271484E+04    4.5736134276E-03    1.0019539062E+04    2.3492997742E+02    6.3727401733E+01    1.4251913538E-10    3.1429883839E-15    1.5385769612E-01
    6.1025000000E+02    8.8282880859E+03    4.5736134276E-03    8.6836328125E+03    4.9611074829E+02    1.4465025330E+02    2.9417240865E-10    3.1429883839E-15    1.5385769612E-01
    6.2250000000E+02    7.6275200195E+03    4.5736134276E-03    7.4912353516E+03    5.0309484863E+02    1.3628004456E+02    5.7794014019E-10    3.1429883839E-15    1.5385769612E-01
    6.3475000000E+02    6.6140371094E+03    4.5736134276E-03    6.4376669922E+03    5.3753466797E+02    1.7636575317E+02    1.1015248713E-09    3.1429883839E-15    1.5385769612E-01
    6.4700000000E+02    5.6422338867E+03    4.5736134276E-03    5.5172578125E+03    6.0274603271E+02    1.2497154236E+02    2.0004267132E-09    3.1429883839E-15    1.5385769612E-01
    6.5925000000E+02    4.8471464844E+03    4.5736134276E-03    4.7236069336E+03    2.1983935547E+02    1.2353463745E+02    3.5498795015E-09    3.1429883839E-15    1.5385769612E-01
    6.7150000000E+02    4.1908730469E+03    4.5736134276E-03    4.0498041992E+03    8.0935693359E+02    1.4106428528E+02    6.1622213998E-09    3.1429883839E-15    1.5385769612E-01
    6.8375000000E+02    3.6974785156E+03    4.5736134276E-03    3.4886264648E+03    1.0551400146E+03    2.0884738159E+02    1.0626163061E-08    3.1429883839E-15    1.5385769612E-01
    6.9600000000E+02    3.2748427734E+03    4.5736134276E-03    3.0326970215E+03    1.1418260498E+03    2.4214125061E+02    1.7933555085E-08    3.1429883839E-15    1.5385769612E-01
    7.0825000000E+02    2.8564514160E+03    4.5736134276E-03    2.6746179199E+03    1.5634970703E+03    1.8182873535E+02    2.9098091048E-08    3.1429883839E-15    1.5385769612E-01
    7.2050000000E+02    2.5195622559E+03    4.5736134276E-03    2.4070800781E+03    3.0284298706E+02    1.1247743988E+02    4.6669164533E-08    3.1429883839E-15    1.5385769612E-01
    7.3275000000E+02    2.4230522461E+03    4.5736134276E-03    2.2229465332E+03    4.4836499023E+02    2.0010108948E+02    7.9864172164E-08    3.1429883839E-15    1.5385769612E-01
    7.4500000000E+02    2.4041879883E+03    4.5736134276E-03    2.1153183594E+03    3.3711777344E+04    2.8886480713E+02    1.3814519662E-07    3.1429883839E-15    1.5385769612E-01
    7.5725000000E+02    2.4210678711E+03    4.5736134276E-03    2.0775820312E+03    8.2792822266E+03    3.4348123169E+02    2.3784400582E-07    3.1429883839E-15    1.5385769612E-01
    7.6950000000E+02    2.3266132812E+03    4.5736134276E-03    2.1034443359E+03    1.8342966797E+04    2.2316441345E+02    3.8360440158E-07    3.1429883839E-15    1.5385769612E-01
    7.8175000000E+02    5.4668908691E+02    4.5736134276E-03    2.7168804932E+02    8.0940000000E+03    2.7499642944E+02    1.4863380216E-07    3.1429883839E-15    1.5385769612E-01
    7.9400000000E+02    5.3639691162E+02    4.5736134276E-03    2.6823278809E+02    2.5766099609E+04    2.6815954590E+02    2.3648084380E-07    3.1429883839E-15    1.5385769612E-01
    8.0625000000E+02    5.6099078369E+02    4.5736134276E-03    2.6483917236E+02    3.5392695312E+04    2.9614703369E+02    3.9468721980E-07    3.1429883839E-15    1.5385769612E-01
    8.1850000000E+02    6.5682727051E+02    4.5736134276E-03    2.6150543213E+02    3.0839865234E+04    3.9531726074E+02    7.2629558190E-07    3.1429883839E-15    1.5385769612E-01
    8.3075000000E+02    6.9777716064E+02    4.5736134276E-03    2.5822994995E+02    1.8623705078E+04    4.3954266357E+02    1.1951515262E-06    3.1429883839E-15    1.5385769612E-01
    8.4300000000E+02    9.4457672119E+02    4.5736134276E-03    2.5501113892E+02    2.5567027344E+04    6.8956097412E+02    2.4714520350E-06    3.1429883839E-15    1.5385769612E-01
    8.5525000000E+02    9.0430883789E+02    4.5736134276E-03    2.5184767151E+02    4.7855639648E+03    6.5245660400E+02    3.5667430893E-06    3.1429883839E-15    1.5385769612E-01
    8.6750000000E+02    6.0776660156E+02    4.5736134276E-03    2.4873829651E+02    1.6365161133E+04    3.5902371216E+02    3.5679258872E-06    3.1429883839E-15    1.5385769612E-01
    8.7975000000E+02    5.1486535645E+02    4.5736134276E-03    2.4568190002E+02    1.1340549805E+04    2.6917889404E+02    4.4444714149E-06    3.1429883839E-15    1.5385769612E-01
    8.9200000000E+02    5.4194262695E+02    4.5736134276E-03    2.4267745972E+02    6.0209826660E+02    2.9926055908E+02    6.7994833444E-06    3.1429883839E-15    1.5385769612E-01
    9.0425000000E+02    7.2490844727E+02    4.5736134276E-03    2.3972412109E+02    1.0399606445E+04    4.8517977905E+02    1.3072634829E-05    3.1429883839E-15    1.5385769612E-01
    9.1650000000E+02    7.0952246094E+02    4.5736134276E-03    2.3682119751E+02    2.7264350586E+03    4.7269671631E+02    1.8195491066E-05    3.1429883839E-15    1.5385769612E-01
    9.2875000000E+02    7.9871203613E+02    4.5736134276E-03    2.3396803284E+02    7.4929755859E+03    5.6473937988E+02    2.8830834708E-05    3.1429883839E-15    1.5385769612E-01
    9.4100000000E+02    9.0767724609E+02    4.5736134276E-03    2.3116419983E+02    7.6070101562E+04    6.7650848389E+02    4.5666649385E-05    3.1429883839E-15    1.5385769612E-01
    9.5325000000E+02    9.4660394287E+02    4.5736134276E-03    2.2840936279E+02    5.6755742188E+04    7.1819006348E+02    6.5756437834E-05    3.1429883839E-15    1.5385769612E-01
    9.6550000000E+02    8.2720080566E+02    4.5736134276E-03    2.2570336914E+02    8.6151234375E+04    6.0149285889E+02    7.8622411820E-05    3.1429883839E-15    1.5385769612E-01
    9.7775000000E+02    8.0780029297E+02    4.5736134276E-03    2.2304618835E+02    1.7832573438E+05    5.8474957275E+02    1.0414107237E-04    3.1429883839E-15    1.5385769612E-01
    9.9000000000E+02    7.5115893555E+02    4.5736134276E-03    2.2043795776E+02    3.0557521973E+03    5.3071643066E+02    1.3025515364E-04    3.1429883839E-15    1.5385769612E-01
    1.0022500000E+03    8.8481909180E+02    4.5736134276E-03    2.1787899780E+02    7.5815498047E+03    6.6693554688E+02    2.0472184406E-04    3.1429883839E-15    1.5385769612E-01
    1.0145000000E+03    8.1222393799E+02    4.5736134276E-03    2.1536981201E+02    3.6985793457E+03    5.9684954834E+02    2.4880783167E-04    3.1429883839E-15    1.5385769612E-01
    1.0267500000E+03    6.7453680420E+02    4.5736134276E-03    2.1291108704E+02    9.4335390625E+03    4.6162115479E+02    2.7153754490E-04    3.1429883839E-15    1.5385769612E-01
    1.0390000000E+03    8.1745239258E+02    4.5736134276E-03    2.1050375366E+02    1.9288554688E+03    6.0694409180E+02    4.2933912482E-04    3.1429883839E-15    1.5385769612E-01
    1.0512500000E+03    7.1688659668E+02    4.5736134276E-03    2.0811018372E+02    3.5218952637E+03    5.0877185059E+02    4.8785595573E-04    3.1429883839E-15    1.5385769612E-01
    1.0635000000E+03    6.9022692871E+02    4.5736134276E-03    2.0580891418E+02    9.4137359619E+02    4.8441342163E+02    6.0455355560E-04    3.1429883839E-15    1.5385769612E-01
    1.0757500000E+03    6.3561798096E+02    4.5736134276E-03    2.0356327820E+02    4.1489448242E+03    4.3205014038E+02    7.1193784242E-04    3.1429883839E-15    1.5385769612E-01
