#AT2017gfo - compiled photometry - compiled by S.J. Smartt, and described and used in Coughlin et al. 2018, MNRAS, 480, 3871
#============================================================================================================================
#
#If you use this table, you must cite the papers listed below as the
#original data sources. You are not permitted to cite me as "private
#communication" or to cite the ENGRAVE website as the source of the
#data, or cite the Coughlin et al. paper in lieu aof these papers, or
#any other third party source. Our Coughlin et al paper merely used these and
#described why and how, it is not the source of the data and should not
#be cited as such. 
#
#All these original papers must be cited if you use this table of photometry. 
#
#
#Andreoni et al. 2017,  PASA, 34, e069
#Arcavi et al. 2017, , Nature, 551, 64
#Chornock et al. 2017,  ApJ, 848, L19
#Cowperthwaite et al. 2017; ApJ, 848, L17
#Drout et al. 2017, Science, 358, 1570
#Evans et al. 2017, , Science, 358, 1565
#Kasliwal et al. 2017, Science, 358, 1559
#Tanvir et al. 2017,  ApJ, 848, L27
#Pian et al. 2017, Nature, 551, 67
#Troja et al. 2017,  Nature, 551, 71
#Smartt et al. 2017, Nature, 551, 75
#Utsumi et al. 2017,  PASJ, 69, 101
#Valenti et al. 2017, ApJ, 848, L24
#
#S.J. Smartt 2019-01-11 
#==================================================================
#
#
#
##Swift : These are the AB mags that Giorgos Leloudas used for the updated Lbol calc
## BB fits and Lbol calc (full integration under the SED, as explained in Coughlin et al. 2018) 
##   MJD.      Phase. UVW2   (err) UVM2  (err)  UVW1  (err)     U     err    i      err    z      err
#57983.16264   0.642  21.13  0.23  21.12  0.22  19.46  0.11   18.19   0.09  17.18  0.08  17.22   0.08
#57983.56250   1.042  21.45  9999  22.52  0.50  20.21  0.21   19.00   0.16  17.52  0.07  17.47   0.07
#
##Ground and HST. The K-band GROND data have been corrected from those published originally in Smartt et al.
##The corrected mags use the K-band VHS as reference, as explained on http://www.pessto.org/index.py?pageId=60
## Giorgos sed these for BB fits and Lbol calc (full integration under the SED, as explained in Coughlin et al. 2018) 
##MJD             Phase    U	U_err	g       g_err	r	r_err	i       i_err	z        z_err	y	y_err	Tel       Phase    J	J_err	H	H_err	K_s	K_err	Telescope
57983.0         0.467   NaN     NaN     17.41   0.02    17.56   0.04    17.48   0.03    17.59   0.03    17.46   0.01    various     0.467    17.88   0.03    18.26	0.15    18.62	0.11     4star/VISTA/GS
57983.23125	0.696	NaN	NaN	NaN	NaN	NaN	NaN	17.24	0.06	17.26	0.06	17.38	0.10	PS1       0.696            NaN     NaN     NaN	NaN     NaN     NaN
57983.42	0.88	NaN     NaN     17.46	0.08	17.32	0.07    17.42   0.05    NaN	NaN	NaN	NaN	Skymapper      0.88       NaN     NaN     NaN	NaN     NaN     NaN
57983.75833	1.218	NaN	NaN	18.05	0.12	17.89	0.03	NaN	NaN	NaN	NaN	NaN	NaN	1.5B/LCO      1.218        17.51	0.03 	17.64	0.04	17.91	0.05    Sirius 
57983.96875	1.427	NaN	NaN	18.49	0.04	17.99	0.01	17.85	0.05	17.72	0.03	17.32	0.03	GROND/DECam  1.427    17.58	0.07	17.64	0.08	17.87	0.12	GROND	
57984.04811	1.505	20.25	0.29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NTT       1.505            NaN     NaN     NaN	NaN     NaN     NaN 
57984.23125	1.686	NaN	NaN	NaN	NaN	NaN	NaN	17.87	0.06	17.78	0.07	17.58	0.11	PS1     1.686           NaN     NaN     NaN	NaN     NaN     NaN
57984.37 	1.82    NaN     NaN   	19.28	0.17    18.34	0.11    18.32   0.14    NaN	NaN	NaN	NaN	Skymapper/LCO    1.82         NaN     NaN     NaN	NaN     NaN     NaN
57984.76111	2.211	NaN	NaN	19.87	0.21	18.80	0.07	18.3	0.15	18.25	0.3	NaN	NaN	1.5B/LCO     2.211         17.69	0.04    17.52	0.04    17.61	0.04    Sirius
57984.96892	2.417	19.6	9999	20.19	0.11	19.13	0.17	18.58	0.04	18.33	0.06	17.77	0.03	GROND        2.417    17.73	0.09	17.64	0.08	17.73	0.09	GROND	
