4  1  64 
1  -1  1  -1 
1  -1  1  0.7 
1  -1  1  0.4 
1  -1  1  -0.1 
1  -1  10  -1 
1  -1  10  0.7 
1  -1  10  0.4 
1  -1  10  -0.1 
1  -1  100  -1 
1  -1  100  0.7 
1  -1  100  0.4 
1  -1  100  -0.1 
1  -1  1000  -1 
1  -1  1000  0.7 
1  -1  1000  0.4 
1  -1  1000  -0.1 
1  0.7  1  -1 
1  0.7  1  0.7 
1  0.7  1  0.4 
1  0.7  1  -0.1 
1  0.7  10  -1 
1  0.7  10  0.7 
1  0.7  10  0.4 
1  0.7  10  -0.1 
1  0.7  100  -1 
1  0.7  100  0.7 
1  0.7  100  0.4 
1  0.7  100  -0.1 
1  0.7  1000  -1 
1  0.7  1000  0.7 
1  0.7  1000  0.4 
1  0.7  1000  -0.1 
1  0.4  1  -1 
1  0.4  1  0.7 
1  0.4  1  0.4 
1  0.4  1  -0.1 
1  0.4  10  -1 
1  0.4  10  0.7 
1  0.4  10  0.4 
1  0.4  10  -0.1 
1  0.4  100  -1 
1  0.4  100  0.7 
1  0.4  100  0.4 
1  0.4  100  -0.1 
1  0.4  1000  -1 
1  0.4  1000  0.7 
1  0.4  1000  0.4 
1  0.4  1000  -0.1 
1  -0.1  1  -1 
1  -0.1  1  0.7 
1  -0.1  1  0.4 
1  -0.1  1  -0.1 
1  -0.1  10  -1 
1  -0.1  10  0.7 
1  -0.1  10  0.4 
1  -0.1  10  -0.1 
1  -0.1  100  -1 
1  -0.1  100  0.7 
1  -0.1  100  0.4 
1  -0.1  100  -0.1 
1  -0.1  1000  -1 
1  -0.1  1000  0.7 
1  -0.1  1000  0.4 
1  -0.1  1000  -0.1 
