4  1  25 
1  0.2  1  -0.4 
1  0.2  10  -0.4 
1  0.2  100  -0.4 
1  0.2  1000  -0.4 
1  0.2  10000  -0.4 
10  0.2  1  -0.4 
10  0.2  10  -0.4 
10  0.2  100  -0.4 
10  0.2  1000  -0.4 
10  0.2  10000  -0.4 
100  0.2  1  -0.4 
100  0.2  10  -0.4 
100  0.2  100  -0.4 
100  0.2  1000  -0.4 
100  0.2  10000  -0.4 
1000  0.2  1  -0.4 
1000  0.2  10  -0.4 
1000  0.2  100  -0.4 
1000  0.2  1000  -0.4 
1000  0.2  10000  -0.4 
10000  0.2  1  -0.4 
10000  0.2  10  -0.4 
10000  0.2  100  -0.4 
10000  0.2  1000  -0.4 
10000  0.2  10000  -0.4 
