4  1  64 
10  -0.7  10  -0.7 
10  -0.7  10  -0.5 
10  -0.7  10  -0.3 
10  -0.7  10  -0.1 
10  -0.5  10  -0.7 
10  -0.5  10  -0.5 
10  -0.5  10  -0.3 
10  -0.5  10  -0.1 
10  -0.3  10  -0.7 
10  -0.3  10  -0.5 
10  -0.3  10  -0.3 
10  -0.3  10  -0.1 
10  -0.1  10  -0.7 
10  -0.1  10  -0.5 
10  -0.1  10  -0.3 
10  -0.1  10  -0.1 
10  -0.7  100  -0.7 
10  -0.7  100  -0.5 
10  -0.7  100  -0.3 
10  -0.7  100  -0.1 
10  -0.5  100  -0.7 
10  -0.5  100  -0.5 
10  -0.5  100  -0.3 
10  -0.5  100  -0.1 
10  -0.3  100  -0.7 
10  -0.3  100  -0.5 
10  -0.3  100  -0.3 
10  -0.3  100  -0.1 
10  -0.1  100  -0.7 
10  -0.1  100  -0.5 
10  -0.1  100  -0.3 
10  -0.1  100  -0.1 
10  -0.7  1000  -0.7 
10  -0.7  1000  -0.5 
10  -0.7  1000  -0.3 
10  -0.7  1000  -0.1 
10  -0.5  1000  -0.7 
10  -0.5  1000  -0.5 
10  -0.5  1000  -0.3 
10  -0.5  1000  -0.1 
10  -0.3  1000  -0.7 
10  -0.3  1000  -0.5 
10  -0.3  1000  -0.3 
10  -0.3  1000  -0.1 
10  -0.1  1000  -0.7 
10  -0.1  1000  -0.5 
10  -0.1  1000  -0.3 
10  -0.1  1000  -0.1 
10  -0.7  10000  -0.7 
10  -0.7  10000  -0.5 
10  -0.7  10000  -0.3 
10  -0.7  10000  -0.1 
10  -0.5  10000  -0.7 
10  -0.5  10000  -0.5 
10  -0.5  10000  -0.3 
10  -0.5  10000  -0.1 
10  -0.3  10000  -0.7 
10  -0.3  10000  -0.5 
10  -0.3  10000  -0.3 
10  -0.3  10000  -0.1 
10  -0.1  10000  -0.7 
10  -0.1  10000  -0.5 
10  -0.1  10000  -0.3 
10  -0.1  10000  -0.1 
