4  1  80 
10000  -0.7  10  -1 
10000  -0.7  10  -0.7 
10000  -0.7  10  -0.4 
10000  -0.7  10  -0.1 
10000  -0.4  10  -1 
10000  -0.4  10  -0.7 
10000  -0.4  10  -0.4 
10000  -0.4  10  -0.1 
10000  -0.1  10  -1 
10000  -0.1  10  -0.7 
10000  -0.1  10  -0.4 
10000  -0.1  10  -0.1 
10000  0.2  10  -1 
10000  0.2  10  -0.7 
10000  0.2  10  -0.4 
10000  0.2  10  -0.1 
10000  -0.7  100  -1 
10000  -0.7  100  -0.7 
10000  -0.7  100  -0.4 
10000  -0.7  100  -0.1 
10000  -0.4  100  -1 
10000  -0.4  100  -0.7 
10000  -0.4  100  -0.4 
10000  -0.4  100  -0.1 
10000  -0.1  100  -1 
10000  -0.1  100  -0.7 
10000  -0.1  100  -0.4 
10000  -0.1  100  -0.1 
10000  0.2  100  -1 
10000  0.2  100  -0.7 
10000  0.2  100  -0.4 
10000  0.2  100  -0.1 
10000  -0.7  1000  -1 
10000  -0.7  1000  -0.7 
10000  -0.7  1000  -0.4 
10000  -0.7  1000  -0.1 
10000  -0.4  1000  -1 
10000  -0.4  1000  -0.7 
10000  -0.4  1000  -0.4 
10000  -0.4  1000  -0.1 
10000  -0.1  1000  -1 
10000  -0.1  1000  -0.7 
10000  -0.1  1000  -0.4 
10000  -0.1  1000  -0.1 
10000  0.2  1000  -1 
10000  0.2  1000  -0.7 
10000  0.2  1000  -0.4 
10000  0.2  1000  -0.1 
10000  -0.7  10000  -1 
10000  -0.7  10000  -0.7 
10000  -0.7  10000  -0.4 
10000  -0.7  10000  -0.1 
10000  -0.4  10000  -1 
10000  -0.4  10000  -0.7 
10000  -0.4  10000  -0.4 
10000  -0.4  10000  -0.1 
10000  -0.1  10000  -1 
10000  -0.1  10000  -0.7 
10000  -0.1  10000  -0.4 
10000  -0.1  10000  -0.1 
10000  0.2  10000  -1 
10000  0.2  10000  -0.7 
10000  0.2  10000  -0.4 
10000  0.2  10000  -0.1 
10000  -0.7  100000  -1 
10000  -0.7  100000  -0.7 
10000  -0.7  100000  -0.4 
10000  -0.7  100000  -0.1 
10000  -0.4  100000  -1 
10000  -0.4  100000  -0.7 
10000  -0.4  100000  -0.4 
10000  -0.4  100000  -0.1 
10000  -0.1  100000  -1 
10000  -0.1  100000  -0.7 
10000  -0.1  100000  -0.4 
10000  -0.1  100000  -0.1 
10000  0.2  100000  -1 
10000  0.2  100000  -0.7 
10000  0.2  100000  -0.4 
10000  0.2  100000  -0.1 
