Time 	 	 Temperature 	 	 Tau 
 0.1 	 	 214418 	 	 	 128553 
0.1 	 	 107126 	 	 	 5039.4 
0.1 	 	 53353.9 	 	 	 237.21 
0.1 	 	 52355.2 	 	 	 457.588 
0.1 	 	 76869.5 	 	 	 1578.28 
0.1 	 	 40852.5 	 	 	 150.513 
0.1 	 	 47633.2 	 	 	 205.897 
0.1 	 	 148354 	 	 	 24788.1 
0.1 	 	 134597 	 	 	 12054.3 
0.1 	 	 91446.3 	 	 	 1573.72 
0.1 	 	 49265.6 	 	 	 180.929 
0.1 	 	 58798.4 	 	 	 481.809 
0.1 	 	 75906 	 	 	 1246.01 
0.1 	 	 99821 	 	 	 3383.18 
0.1 	 	 146563 	 	 	 19200 
0.1 	 	 169250 	 	 	 51252.8 
0.1 	 	 116875 	 	 	 7392.27 
0.1 	 	 73398.1 	 	 	 1617.98 
0.1 	 	 91758.8 	 	 	 3248.13 
0.1 	 	 52557.6 	 	 	 336.26 
0.1 	 	 116875 	 	 	 7424.86 
0.1 	 	 77368.5 	 	 	 2083.43 
0.1 	 	 85180.3 	 	 	 2313.88 
0.1 	 	 179125 	 	 	 40480.4 
0.1 	 	 40470.6 	 	 	 137.307 
0.1 	 	 74687.2 	 	 	 1951.81 
0.1 	 	 124598 	 	 	 8737.85 
0.1 	 	 158705 	 	 	 35180.3 
0.1 	 	 57727.7 	 	 	 404.6 
0.1 	 	 130941 	 	 	 13668.3 
0.1 	 	 43749 	 	 	 157.851 
0.1 	 	 46183.2 	 	 	 192.186 
0.1 	 	 44412 	 	 	 205.723 
0.1 	 	 89077.8 	 	 	 2583.24 
0.1 	 	 69852.4 	 	 	 632.324 
0.1 	 	 51611.2 	 	 	 409.25 
0.1 	 	 99396 	 	 	 6020.81 
0.1 	 	 40408.2 	 	 	 163.133 
0.1 	 	 230544 	 	 	 100363 
0.1 	 	 179125 	 	 	 41154.9 
0.1 	 	 107126 	 	 	 5438.98 
0.1 	 	 71671.6 	 	 	 972.42 
0.1 	 	 175601 	 	 	 46815.4 
0.1 	 	 86919.9 	 	 	 1736.54 
0.1 	 	 201782 	 	 	 94366.3 
0.1 	 	 163667 	 	 	 44871.3 
0.1 	 	 191508 	 	 	 83359.4 
0.1 	 	 108841 	 	 	 6193.93 
0.1 	 	 221946 	 	 	 105987 
0.1 	 	 169250 	 	 	 21394.8 
0.1 	 	 60551.2 	 	 	 638.562 
0.1 	 	 63139.6 	 	 	 393.761 
0.1 	 	 53658.7 	 	 	 415.675 
0.1 	 	 55783.7 	 	 	 305.194 
0.1 	 	 58135.6 	 	 	 644.478 
0.1 	 	 146563 	 	 	 22898.7 
0.1 	 	 78403.3 	 	 	 1489.98 
0.1 	 	 86663.4 	 	 	 3130.88 
0.1 	 	 161116 	 	 	 33696.9 
0.1 	 	 76382.1 	 	 	 2009.95 
0.1 	 	 152192 	 	 	 19300 
0.1 	 	 40330.8 	 	 	 159.879 
0.1 	 	 221946 	 	 	 92625.5 
0.1 	 	 118440 	 	 	 8190.82 
0.1 	 	 166372 	 	 	 39762.6 
0.1 	 	 121818 	 	 	 12600.9 
0.1 	 	 64815.7 	 	 	 637.964 
0.1 	 	 57162.9 	 	 	 643.293 
0.1 	 	 41264.7 	 	 	 178.954 
0.1 	 	 108841 	 	 	 3333.84 
0.1 	 	 71671.6 	 	 	 1586.11 
0.1 	 	 44746.4 	 	 	 175.216 
0.1 	 	 38995.5 	 	 	 88.194 
0.1 	 	 89648.9 	 	 	 2931.29 
0.1 	 	 106577 	 	 	 5931.22 
0.1 	 	 39356.4 	 	 	 47.203 
0.1 	 	 166372 	 	 	 43874.1 
0.1 	 	 50266.7 	 	 	 170.053 
0.1 	 	 58254.1 	 	 	 459.811 
0.1 	 	 230544 	 	 	 121201 
0.1 	 	 42338.4 	 	 	 121.269 
0.1 	 	 230544 	 	 	 168391 
0.1 	 	 163667 	 	 	 35282.2 
0.1 	 	 161116 	 	 	 37310.2 
0.1 	 	 221946 	 	 	 104804 
0.1 	 	 158705 	 	 	 22426.9 
0.1 	 	 125577 	 	 	 11601.8 
0.1 	 	 40659.9 	 	 	 158.266 
0.1 	 	 161116 	 	 	 27955.4 
0.1 	 	 57785.3 	 	 	 589.308 
0.1 	 	 41939.4 	 	 	 148.711 
0.1 	 	 156421 	 	 	 26771.1 
0.1 	 	 94063.2 	 	 	 4492.13 
0.1 	 	 132119 	 	 	 13955 
0.1 	 	 123645 	 	 	 8850.1 
0.1 	 	 40011.2 	 	 	 126.883 
0.1 	 	 66091.6 	 	 	 992.675 
0.1 	 	 38580.6 	 	 	 73.6652 
0.1 	 	 58135.6 	 	 	 535.413 
0.1 	 	 169250 	 	 	 25355.6 
0.1 	 	 40192.6 	 	 	 111.074 
0.1 	 	 146563 	 	 	 21033.8 
0.1 	 	 62744.7 	 	 	 980.37 
0.1 	 	 67061.8 	 	 	 787.056 
0.1 	 	 60145 	 	 	 765.587 
0.1 	 	 67061.8 	 	 	 1081.5 
0.1 	 	 169250 	 	 	 51295.8 
0.1 	 	 37700.1 	 	 	 71.4578 
0.1 	 	 221946 	 	 	 95816.1 
0.1 	 	 111937 	 	 	 4786.45 
0.1 	 	 112596 	 	 	 7049.72 
0.1 	 	 53746.9 	 	 	 463.967 
0.1 	 	 146563 	 	 	 8278.58 
0.1 	 	 207748 	 	 	 89237.3 
0.1 	 	 152192 	 	 	 20012.8 
0.1 	 	 53353.9 	 	 	 347.664 
0.1 	 	 201782 	 	 	 102102 
0.1 	 	 196399 	 	 	 68299.9 
0.1 	 	 42732.5 	 	 	 155.369 
0.1 	 	 41181 	 	 	 21.4468 
0.1 	 	 169250 	 	 	 26876.3 
0.1 	 	 106577 	 	 	 7507.08 
0.1 	 	 57107.5 	 	 	 132.896 
0.1 	 	 150228 	 	 	 7494.41 
0.1 	 	 96217.8 	 	 	 2516.55 
0.1 	 	 49169.5 	 	 	 110.028 
0.1 	 	 175601 	 	 	 60348 
0.1 	 	 66377.2 	 	 	 400.179 
0.1 	 	 64467.4 	 	 	 262.951 
0.1 	 	 77537.5 	 	 	 2055 
0.1 	 	 161116 	 	 	 31092.4 
0.1 	 	 61832.7 	 	 	 661.912 
0.1 	 	 69852.4 	 	 	 1450.64 
0.1 	 	 166372 	 	 	 19790 
0.1 	 	 82902 	 	 	 1104.95 
0.1 	 	 63625.7 	 	 	 741.673 
0.1 	 	 123645 	 	 	 11054 
0.1 	 	 56195 	 	 	 372.616 
0.1 	 	 196399 	 	 	 93661.6 
0.1 	 	 84942.1 	 	 	 1689.27 
0.1 	 	 37057.5 	 	 	 70.1149 
0.1 	 	 230544 	 	 	 158619 
0.1 	 	 92720.8 	 	 	 4465.51 
0.1 	 	 214418 	 	 	 120423 
0.1 	 	 88519.9 	 	 	 3675.08 
0.1 	 	 68086.2 	 	 	 1009.81 
0.1 	 	 134597 	 	 	 19132.4 
0.1 	 	 207748 	 	 	 86587.7 
0.1 	 	 63790.8 	 	 	 631.036 
0.1 	 	 93049.9 	 	 	 1811.79 
0.1 	 	 39160.5 	 	 	 87.5822 
0.1 	 	 166372 	 	 	 30952 
0.1 	 	 201782 	 	 	 22197.4 
0.1 	 	 103481 	 	 	 6501.71 
0.1 	 	 74104.1 	 	 	 1664.29 
0.1 	 	 81433.1 	 	 	 2052.13 
0.1 	 	 102051 	 	 	 6223.92 
0.1 	 	 49525.4 	 	 	 194.467 
0.1 	 	 58135.6 	 	 	 512.183 
0.1 	 	 214418 	 	 	 102430 
0.1 	 	 88519.9 	 	 	 2747.29 
0.1 	 	 90233.6 	 	 	 2249.23 
0.1 	 	 161116 	 	 	 38975.6 
0.1 	 	 44043.8 	 	 	 135.424 
0.1 	 	 66091.6 	 	 	 1184.35 
0.1 	 	 59361.9 	 	 	 346.855 
0.1 	 	 114662 	 	 	 10219.4 
0.1 	 	 161116 	 	 	 17022.3 
0.1 	 	 221946 	 	 	 105919 
0.1 	 	 49201.5 	 	 	 306.037 
0.1 	 	 92075.5 	 	 	 4563.86 
0.1 	 	 97759.6 	 	 	 4179.34 
0.1 	 	 67464.7 	 	 	 636.234 
0.1 	 	 144848 	 	 	 20257.2 
0.1 	 	 169250 	 	 	 33237.1 
0.1 	 	 119252 	 	 	 12511.2 
0.1 	 	 39498.5 	 	 	 150.023 
0.1 	 	 38168.8 	 	 	 90.2704 
0.1 	 	 57442.8 	 	 	 118.517 
0.1 	 	 110660 	 	 	 9393.51 
0.1 	 	 47104.1 	 	 	 225.144 
0.1 	 	 125577 	 	 	 14896.7 
0.1 	 	 187036 	 	 	 63777.2 
0.1 	 	 37821.4 	 	 	 102.223 
0.1 	 	 102520 	 	 	 6442.34 
0.1 	 	 166372 	 	 	 42092.2 
0.1 	 	 64728 	 	 	 657.283 
0.1 	 	 108841 	 	 	 6901.61 
0.1 	 	 43042.1 	 	 	 139.985 
0.1 	 	 92720.8 	 	 	 4304.13 
0.1 	 	 82050.8 	 	 	 1901.91 
0.1 	 	 62131.3 	 	 	 288.858 
0.1 	 	 207748 	 	 	 77097.4 
