Intensity_equatorial     Intensity_polar          Wavelength 

6.504374999999999864e-21  4.870874999999999321e-19  1.220000000000000000e+03
2.198624999999999924e-19  1.190124999999999907e-19  1.660000000000000000e+03
1.611499999999999861e-18  3.802125000000000097e-18  2.100000000000000000e+03
6.751250000000000187e-18  1.126375000000000141e-17  2.540000000000000000e+03
1.596312499999999956e-17  2.678187499999999910e-17  2.980000000000000000e+03
3.156437500000000273e-17  5.687250000000000610e-17  3.420000000000000000e+03
4.603124999999999610e-17  7.824374999999999321e-17  3.860000000000000000e+03
5.799749999999999973e-17  1.078749999999999903e-16  4.300000000000000000e+03
8.341250000000000201e-17  1.353499999999999955e-16  4.740000000000000000e+03
9.260000000000000339e-17  1.614437499999999819e-16  5.180000000000000000e+03
9.794374999999999778e-17  1.811187500000000009e-16  5.620000000000000000e+03
1.022125000000000067e-16  2.023625000000000170e-16  6.060000000000000000e+03
1.077812500000000073e-16  2.114562499999999983e-16  6.500000000000000000e+03
8.493124999999999094e-17  2.116374999999999803e-16  6.940000000000000000e+03
7.273124999999999731e-17  1.829812500000000139e-16  7.380000000000000000e+03
6.091375000000000299e-17  1.757562500000000049e-16  7.820000000000000000e+03
4.584187499999999782e-17  1.442187500000000077e-16  8.260000000000000000e+03
3.608937499999999984e-17  1.459624999999999781e-16  8.700000000000000000e+03
2.858187500000000184e-17  1.104062500000000006e-16  9.140000000000000000e+03
2.092249999999999941e-17  9.415624999999999540e-17  9.580000000000000000e+03
1.926687499999999864e-17  9.461875000000000045e-17  1.002000000000000000e+04
1.315125000000000003e-17  8.545000000000000061e-17  1.046000000000000000e+04
1.149124999999999962e-17  9.008124999999999821e-17  1.090000000000000000e+04
1.084874999999999861e-17  6.923125000000000207e-17  1.134000000000000000e+04
1.095187499999999936e-17  7.953750000000000067e-17  1.178000000000000000e+04
1.363000000000000066e-17  5.836250000000000665e-17  1.222000000000000000e+04
1.669874999999999906e-17  5.868687499999999380e-17  1.266000000000000000e+04
8.100000000000000040e-18  5.587250000000000218e-17  1.310000000000000000e+04
5.783812500000000053e-18  5.431374999999999805e-17  1.354000000000000000e+04
1.107187500000000026e-17  4.703500000000000279e-17  1.398000000000000000e+04
8.041250000000000257e-18  4.476812499999999689e-17  1.442000000000000000e+04
6.569375000000000529e-18  4.508437499999999858e-17  1.486000000000000000e+04
5.133812500000000431e-18  3.214874999999999928e-17  1.530000000000000000e+04
5.110499999999999885e-18  3.920312500000000532e-17  1.574000000000000000e+04
5.418500000000000095e-18  2.816625000000000064e-17  1.618000000000000000e+04
4.977437499999999597e-18  3.135499999999999994e-17  1.662000000000000000e+04
4.286562499999999797e-18  2.958249999999999801e-17  1.706000000000000000e+04
3.847812499999999724e-18  2.965500000000000437e-17  1.750000000000000000e+04
4.523437499999999547e-18  3.042062500000000140e-17  1.794000000000000000e+04
4.440625000000000205e-18  2.447249999999999978e-17  1.838000000000000000e+04
2.996687500000000333e-18  2.843687500000000146e-17  1.882000000000000000e+04
4.220750000000000440e-18  2.678312499999999899e-17  1.926000000000000000e+04
4.397375000000000069e-18  2.247624999999999779e-17  1.970000000000000000e+04
5.038875000000000083e-18  2.112312500000000292e-17  2.014000000000000000e+04
2.280874999999999814e-18  1.874999999999999961e-17  2.058000000000000000e+04
2.390250000000000050e-18  1.658124999999999950e-17  2.102000000000000000e+04
2.824375000000000042e-18  1.582812499999999835e-17  2.146000000000000000e+04
3.483687500000000130e-18  1.236249999999999874e-17  2.190000000000000000e+04
2.776499999999999825e-18  1.742187499999999960e-17  2.234000000000000000e+04
2.551749999999999923e-18  1.089187499999999968e-17  2.278000000000000000e+04
